"Image Name","PID","Session Name","Session#","Mem Usage"
"WmiPrvSE.exe","26620","Services","0","25,664 K"
"cmd.exe","27652","Console","2","6,156 K"
"conhost.exe","19468","Console","2","11,516 K"
"Code.exe","33460","Console","2","224,184 K"
"CodeHelper.exe","32500","Console","2","14,900 K"
"conhost.exe","14784","Console","2","10,900 K"
"Code.exe","17236","Console","2","142,244 K"
"Code.exe","35256","Console","2","38,364 K"
"Code.exe","21324","Console","2","53,676 K"
"Code.exe","4900","Console","2","51,616 K"
"winpty-agent.exe","24356","Console","2","6,160 K"
"conhost.exe","1180","Console","2","11,088 K"
"powershell.exe","22688","Console","2","268,964 K"
"powershell.exe","31436","Console","2","125,352 K"
"conhost.exe","25880","Console","2","16,772 K"
"svchost.exe","32884","Services","0","5,712 K"
"SearchProtocolHost.exe","16068","Console","2","8,120 K"
"svchost.exe","34428","Services","0","11,208 K"
"SearchFilterHost.exe","11652","Services","0","8,688 K"
"chrome.exe","35816","Console","2","22,768 K"
"chrome.exe","36044","Console","2","160,784 K"
"WmiPrvSE.exe","22192","Services","0","34,448 K"
"tasklist.exe","34712","Console","2","7,528 K"
