"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","3144","Services","0","2,864 K"
"svchost.exe","3244","Services","0","2,376 K"
"svchost.exe","3260","Services","0","5,236 K"
"svchost.exe","3512","Services","0","3,988 K"
"svchost.exe","3724","Services","0","4,608 K"
"svchost.exe","3784","Services","0","8,028 K"
"svchost.exe","3820","Services","0","7,896 K"
"svchost.exe","3912","Services","0","2,584 K"
"svchost.exe","3972","Services","0","9,732 K"
"svchost.exe","4020","Services","0","17,176 K"
"svchost.exe","4056","Services","0","5,600 K"
"svchost.exe","3276","Services","0","19,096 K"
"svchost.exe","4092","Services","0","6,276 K"
"svchost.exe","4144","Services","0","3,128 K"
"spoolsv.exe","4308","Services","0","12,128 K"
"svchost.exe","4440","Services","0","38,020 K"
"svchost.exe","4732","Services","0","21,948 K"
"svchost.exe","4836","Services","0","2,808 K"
"IntelCpHDCPSvc.exe","4856","Services","0","1,592 K"
"svchost.exe","4888","Services","0","11,124 K"
"WmiPrvSE.exe","4900","Services","0","23,008 K"
"svchost.exe","4924","Services","0","2,500 K"
"svchost.exe","4948","Services","0","19,312 K"
"svchost.exe","4992","Services","0","37,772 K"
"IpOverUsbSvc.exe","3828","Services","0","2,540 K"
"ServiceLayer.exe","2716","Services","0","10,700 K"
"NvTelemetryContainer.exe","3712","Services","0","2,408 K"
"svchost.exe","4652","Services","0","3,740 K"
"svchost.exe","4740","Services","0","1,392 K"
"MsSense.exe","5128","Services","0","68,456 K"
"snmp.exe","5160","Services","0","2,880 K"
"sqlwriter.exe","5236","Services","0","2,348 K"
"SurfaceDtxService.exe","5280","Services","0","1,632 K"
"SurfaceUsbHubFwUpdateService.exe","5288","Services","0","1,372 K"
